country,2005,2006,2007,2008,2009,2010,2011,2012
Ireland,24.00882,25.42254,26.142,28.127,26.2954,26.8254,26.1434,25.8514
Italy,278.1547,288.70848,289.4176,295.01506,272.7467,283.1889,286.418,281.029
Kosovo,--,--,--,4.856,4.684,4.864,5.458,5.591
Luxembourg,2.83858,2.99818,2.7053,2.25288,2.68142,2.501,2.04248,2.119
Macedonia,6.60282,6.67146,6.15872,5.97474,6.48152,6.94626,6.425,5.939
Malta,2.1056,2.12534,2.15824,2.17328,2.03892,1.98822,2.05,2.145
Montenegro,--,2.86288,2.0794,2.73566,2.69766,3.91868,2.557,2.747
Netherlands,94.50572,92.93052,99.27836,101.72108,107.35318,111.69582,106.893,94.865
Norway,135.3932,119.72378,134.10084,139.21964,129.06828,121.517,124.341,144.622
Poland,145.63056,150.94878,149.249,145.665,142.451,148.2105,153.6055,152.733
Portugal,43.70262,46.27512,44.78848,43.42942,47.34242,51.91452,49.896,43.411
Romania,56.75,59.737,58.60454,61.702,54.829,57.88,59.023,56.013
Serbia,--,34.603,34.56922,34.76598,35.68332,35.408,35.892,31.773
Slovakia,29.3087,29.16634,26.101,26.90578,24.32788,25.77784,26.339,26.639
Slovenia,14.47288,14.46846,14.38535,15.7091,15.72955,15.51636,15.162,14.809
Spain,268.93376,279.96651,286.47399,295.63654,278.26738,285.38432,278.10712,279.995
Sweden,154.58129,140.43441,145.26544,146.36121,133.52426,145.21455,145.86243,161.046
Switzerland,55.40657,59.52383,63.97804,64.41186,64.1049,63.89896,60.64589,64.811
Turkey,154.2328,167.95614,181.90008,188.2498,185.05796,201.36774,218.585,228.339
United Kingdom,370.6021,368.40008,367.597,360.392,348.929,354.816,341.469,335.6873
Eurasia,1324.44847,1377.5929,1406.13733,1429.57728,1357.99254,1425.93832,1454.13713,1479.45044
Armenia,5.97832,5.61744,5.58447,5.46643,5.37776,6.17572,7.075,7.622
Azerbaijan,20.09546,22.32042,20.65402,20.45634,17.84952,17.75922,19.21,21.7
Belarus,29.1073,29.91008,29.9267,32.95238,28.56472,32.8176,30.4847,29.082
Estonia,9.59936,9.15588,11.4673,9.95796,8.28472,12.2488,12.192,11.339
Former U.S.S.R.,--,--,--,--,--,--,--,--
Georgia,7.14314,7.11568,8.17316,8.30354,8.41524,9.98458,9.977,9.475
Kazakhstan,64.16854,67.74666,72.41138,75.88098,74.33214,78.08956,81.786,86.117
Kyrgyzstan,14.637,14.275,14.577,11.588,10.929,11.929,14.956,14.967
Latvia,4.78348,4.7377,4.62742,5.11928,5.41322,6.41248,5.8913,6.008
Lithuania,13.06911,10.84036,12.1015,11.96,13.09984,4.24302,3.45,3.927
Moldova,5.635,5.727,5.551,5.68,5.844,5.767,5.456,5.467
Russia,899.29476,939.91668,958.37694,982.52281,937.7736,980.89734,996.83913,1012.47644
Tajikistan,16.913,16.754,17.3002,16.96818,16.03898,16.959,16.801,17.529
Turkmenistan,12.051,12.831,13.98738,14.13778,15.024,15.663,16.19,16.688
Ukraine,175.293,182.323,185.06586,181.58,163.626,177.851,184.061,187.142
Uzbekistan,46.68,48.322,46.333,47.0036,47.4198,49.141,49.768,49.911
Middle East,599.07958,640.23536,681.73516,725.00663,764.74889,827.08296,852.81368,906.9815
Bahrain,8.33498,9.1603,10.25352,11.21802,11.33464,12.934,12.9985,13.2605
Iran,168.21198,182.04154,192.65464,201.92014,208.4614,219.4584,226.09118,239.248
Iraq,28.876,32.09842,31.52958,34.80197,43.03193,47.39528,51.193,58.273
Israel,45.68822,47.52602,50.56592,53.37,51.46154,55.03266,56.053,59.243
