country,2005,2006,2007,2008,2009,2010,2011,2012
Greece,54.13574,55.8125,58.35748,59.65142,58.8956,56.40104,56.372,57.726
Hungary,36.0282,36.90062,37.77576,37.72184,35.6388,36.55372,36.744,36.761
Iceland,8.2347,9.44376,11.39788,15.76788,16.20288,16.23388,16.58188,16.94
Ireland,24.00382,25.08454,25.3,26.355,24.9584,25.1784,24.5814,24.2434
Italy,306.6837,313.76748,314.7246,314.60606,297.3537,306.7789,311.302,303.132
Kosovo,--,--,--,4.315,4.214,4.391,4.935,4.816
Luxembourg,5.98358,6.44118,6.5513,6.48188,5.98342,6.443,6.40348,6.108
Macedonia,6.60982,6.78346,7.14072,7.26374,6.73252,7.08726,7.786,7.384
Malta,1.8496,1.84934,1.84424,1.84128,1.69992,1.60222,1.808,1.852
Montenegro,--,3.66888,3.4504,3.47366,2.95966,3.25268,3.468,3.264
Netherlands,108.32572,109.85652,112.22736,112.91308,107.83918,110.02182,111.372,107.485
Norway,113.3512,110.46378,113.95484,115.65264,112.50628,119.575,113.158,115.505
Poland,119.88156,125.94178,129.485,132.407,127.727,135.0055,137.7255,139.009
Portugal,46.31462,48.03012,49.09648,48.67642,48.32642,50.25652,48.619,46.599
Romania,47.767,48.886,49.76354,50.264,45.505,48.548,49.976,46.152
Serbia,--,28.068,28.72022,28.93598,28.28732,29.087,29.77,26.553
Slovakia,24.3567,25.43634,26.382,26.42378,24.85788,25.96284,26.551,25.758
Slovenia,13.19488,13.65646,13.74735,13.2951,11.77755,12.44236,13.077,13.023
Spain,241.63076,251.56151,255.24199,258.78754,245.71838,249.65132,245.98912,243.121
Sweden,135.48029,135.60741,135.92044,133.41521,128.30426,136.70755,128.06043,130.512
Switzerland,57.52657,58.03383,57.69504,58.99786,57.7629,60.04196,58.75189,58.009
Turkey,129.0268,141.48314,153.69508,160.4358,155.33296,170.37174,187.127,197.02
United Kingdom,351.0221,348.40208,344.982,343.331,323.609,330.875,320.205,319.1463
Eurasia,1133.23597,1192.4463,1223.67933,1243.37798,1179.31424,1248.04032,1271.03713,1305.41544
Armenia,4.16382,4.43884,4.77647,4.55743,4.48976,4.63072,5.089,5.043
Azerbaijan,17.26646,19.43242,16.98402,16.69734,13.47952,13.56722,14.56,17.793
Belarus,29.5093,30.42908,30.5467,31.07838,29.54872,31.7436,32.6577,33.277
Estonia,6.88836,7.32888,7.6933,7.88696,7.48072,7.9478,7.681,8.22
Former U.S.S.R.,--,--,--,--,--,--,--,--
Georgia,7.35514,6.69368,6.90516,7.09154,6.84924,7.62158,8.382,8.468
Kazakhstan,57.09254,61.32066,65.29538,69.05298,67.19114,72.61356,76.21,80.294
Kyrgyzstan,6.818,7.101,7.619,7.132,6.972,7.302,8.893,9.943
Latvia,6.09548,6.4277,6.82942,6.84128,6.32622,6.56048,6.5203,7.141
Lithuania,8.87411,9.32336,9.6115,9.9877,9.19864,9.24402,9.317,9.664
Moldova,7.007,7.401,6.786,6.899,5.853,5.791,4.904,5.056
Russia,774.32676,816.51568,840.72394,855.64981,816.1245,858.51734,869.28513,889.32744
Tajikistan,14.418,14.618,14.4482,14.85918,13.99698,14.775,14.505,14.423
Turkmenistan,9.016,9.667,10.57638,10.58578,11.362,11.121,11.45,11.747
Ukraine,142.143,147.998,152.94286,152.487,137.501,152.101,156.51,159.81
Uzbekistan,42.262,43.751,41.941,42.5716,42.9408,44.504,45.073,45.209
